date,time,bar,moves,edge,open,close,day
2018-06-22,10:24:00,460,22.5,0,1,0,1
2018-06-22,10:34:00,461,22.5,0,1,0,1
2018-06-22,10:44:00,462,22.5,0,1,0,1
2018-06-22,10:54:00,463,25,0,1,0,1
2018-06-22,11:04:00,464,27.5,0,1,0,1
2018-06-22,11:14:00,465,25,0,1,0,1
2018-06-22,11:24:00,466,22.5,0,1,0,1
2018-06-22,11:34:00,467,22.5,0,1,0,1
2018-06-22,11:44:00,468,25.5,0,1,0,1
2018-06-22,11:54:00,469,26,0,1,0,1
2018-06-22,12:04:00,470,23,0,1,0,1
2018-06-22,12:14:00,471,23.5,0,1,0,1
2018-06-22,12:24:00,472,24,0,1,0,1
2018-06-22,12:34:00,473,24,0,1,0,1
2018-06-22,12:44:00,474,24,0,1,0,1
2018-06-22,12:54:00,475,24.5,0,1,0,1
2018-06-22,13:04:00,476,25.5,0,1,0,1
2018-06-22,13:14:00,477,26,0,1,0,1
2018-06-22,13:24:00,478,25.5,0,1,0,1
2018-06-22,13:34:00,479,24,0,1,0,1
2018-06-22,13:44:00,480,26,0,1,0,1
2018-06-22,13:54:00,481,29.5,0,1,0,1
2018-06-22,14:04:00,482,29,0,1,0,1
2018-06-22,14:14:00,483,27,0,1,0,1
2018-06-22,14:24:00,484,25.5,0,1,0,1
2018-06-22,14:34:00,485,24.5,0,1,0,1
2018-06-22,14:44:00,486,25,0,1,0,1
2018-06-22,14:54:00,487,26,0,1,0,1
2018-06-22,15:04:00,488,26,0,1,0,1
2018-06-22,15:14:00,489,25.5,0,1,0,1
2018-06-22,15:24:00,490,25,0,1,0,1
2018-06-22,15:34:00,491,25.5,0,1,0,1
2018-06-22,15:44:00,492,26,0,1,0,1
2018-06-22,15:54:00,493,26.5,0,1,0,1
2018-06-22,16:04:00,494,27,0,1,0,1
2018-06-22,16:14:00,495,26.5,0,1,0,1
2018-06-22,16:24:00,496,26,0,1,0,1
2018-06-22,16:34:00,497,26,0,1,0,1
2018-06-22,16:44:00,498,25,0,1,0,1
2018-06-22,16:54:00,499,25.5,0,1,0,1
2018-06-22,17:04:00,500,26.5,0,1,0,1
2018-06-22,17:14:00,501,25.5,0,1,0,1
2018-06-22,17:24:00,502,24.5,0,1,0,1
2018-06-22,17:34:00,503,23.5,0,1,0,1
2018-06-22,17:44:00,504,24.5,0,1,0,1
2018-06-22,17:54:00,505,25.5,0,1,0,1
2018-06-22,18:04:00,506,24.5,0,1,0,1
2018-06-22,18:14:00,507,24.5,0,1,0,1
2018-06-22,18:24:00,508,24,0,1,0,1
2018-06-22,18:34:00,509,23.5,0,1,0,1
2018-06-22,18:44:00,510,22.5,0,1,0,1
2018-06-22,18:54:00,511,21,0,1,0,1
2018-06-22,19:04:00,512,21.5,0,1,0,1
